*ref00000 09:58:09.32 +02:06:13.9
*ref00001 09:58:02.89 +02:11:06.9
*ref00002 09:58:22.84 +02:09:38.5
*ref00003 09:58:39.50 +02:07:19.5
*ref00004 09:58:50.80 +02:05:22.4
*ref00005 09:59:00.98 +02:08:30.6
*ref00006 09:59:17.11 +02:07:27.1
*ref00007 09:59:25.32 +02:10:00.9
*ref00008 09:58:34.09 +02:15:13.6
*ref00009 09:58:37.61 +02:24:42.3
*ref00010 09:58:13.90 +02:20:02.4
*ref00011 09:57:54.60 +02:17:52.5
*ref00012 09:59:28.64 +02:17:32.0
*ref00013 09:59:12.47 +02:14:54.7
*ref00014 09:59:03.86 +02:21:02.7
@ob00000 09:58:27.2148 +02:02:33.292 -2.0
@ob02773 09:58:27.3483 +02:02:37.292 -2.0
@ob00001 09:58:18.1978 +02:15:43.176 -2.0
@ob02774 09:58:18.3312 +02:15:47.176 -2.0
@ob00002 09:58:47.6719 +02:02:09.908 -2.0
@ob02775 09:58:47.8053 +02:02:13.908 -2.0
@ob00003 09:58:48.3995 +02:10:16.355 -2.0
@ob02776 09:58:48.5330 +02:10:20.355 -2.0
@ob00004 09:58:03.1536 +02:07:31.879 -2.0
@ob02777 09:58:03.2870 +02:07:35.879 -2.0
@ob00005 09:58:32.7622 +02:22:09.729 -2.0
@ob02778 09:58:32.8956 +02:22:13.729 -2.0
@ob00006 09:58:25.2378 +02:09:49.716 -2.0
@ob02779 09:58:25.3713 +02:09:53.716 -2.0
@ob00007 09:58:08.2340 +02:05:27.336 -2.0
@ob02780 09:58:08.3675 +02:05:31.336 -2.0
@ob00008 09:58:16.1785 +02:17:23.899 -2.0
@ob02781 09:58:16.3119 +02:17:27.899 -2.0
@ob00009 09:58:42.3287 +02:13:24.056 -2.0
@ob02782 09:58:42.4621 +02:13:28.056 -2.0
@ob00010 09:58:04.2909 +02:16:20.778 -2.0
@ob02783 09:58:04.4243 +02:16:24.778 -2.0
@ob00011 09:58:43.8269 +02:00:58.264 -2.0
@ob02784 09:58:43.9603 +02:01:02.264 -2.0
@ob00012 09:57:59.9275 +02:15:18.752 -2.0
@ob02785 09:58:00.0610 +02:15:22.752 -2.0
@ob00013 09:59:14.4891 +02:20:55.224 -2.0
@ob02786 09:59:14.6225 +02:20:59.224 -2.0
@ob00014 09:58:53.9546 +02:05:33.439 -2.0
@ob02787 09:58:54.0880 +02:05:37.439 -2.0
@ob00015 09:58:11.9830 +02:20:40.944 -2.0
@ob02788 09:58:12.1165 +02:20:44.944 -2.0
@ob00016 09:58:14.4852 +02:22:38.674 -2.0
@ob02789 09:58:14.6186 +02:22:42.674 -2.0
@ob00017 09:58:58.3045 +02:12:39.923 -2.0
@ob02790 09:58:58.4379 +02:12:43.923 -2.0
@ob00018 09:57:57.1013 +02:12:06.951 -2.0
@ob02791 09:57:57.2348 +02:12:10.951 -2.0
@ob00019 09:58:31.7182 +02:08:08.865 -2.0
@ob02792 09:58:31.8516 +02:08:12.865 -2.0
@ob00020 09:58:06.2750 +02:17:26.406 -2.0
@ob02793 09:58:06.4084 +02:17:30.406 -2.0
@ob00021 09:58:06.9417 +02:03:54.109 -2.0
@ob02794 09:58:07.0751 +02:03:58.109 -2.0
@ob00022 09:58:42.9163 +02:24:36.184 -2.0
@ob02795 09:58:43.0497 +02:24:40.184 -2.0
@ob00023 09:58:35.6584 +02:20:23.917 -2.0
@ob02796 09:58:35.7918 +02:20:27.917 -2.0
@ob00024 09:58:05.5167 +02:15:09.619 -2.0
@ob02797 09:58:05.6501 +02:15:13.619 -2.0
@ob00025 09:58:13.2860 +02:14:58.374 -2.0
@ob02798 09:58:13.4194 +02:15:02.374 -2.0
@ob00026 09:58:30.7047 +02:18:32.527 -2.0
@ob02799 09:58:30.8381 +02:18:36.527 -2.0
@ob00027 09:58:29.5851 +02:17:38.819 -2.0
@ob02800 09:58:29.7186 +02:17:42.819 -2.0
@ob00028 09:58:11.4507 +02:23:31.149 -2.0
@ob02801 09:58:11.5841 +02:23:35.149 -2.0
@ob00029 09:58:52.5611 +02:08:29.754 -2.0
@ob02802 09:58:52.6946 +02:08:33.754 -2.0
@ob00030 09:58:02.1014 +02:15:41.261 -2.0
@ob02803 09:58:02.2348 +02:15:45.261 -2.0
@ob00031 09:58:26.2589 +02:03:05.214 -2.0
@ob02804 09:58:26.3923 +02:03:09.214 -2.0
@ob00032 09:58:40.4455 +02:20:03.533 -2.0
@ob02805 09:58:40.5789 +02:20:07.533 -2.0
@ob00033 09:58:05.5629 +02:03:20.932 -2.0
@ob02806 09:58:05.6963 +02:03:24.932 -2.0
@ob00034 09:58:16.2550 +02:09:51.054 -2.0
@ob02807 09:58:16.3885 +02:09:55.054 -2.0
@ob00035 09:58:40.0042 +02:04:35.502 -2.0
@ob02808 09:58:40.1376 +02:04:39.502 -2.0
@ob00036 09:58:27.6831 +02:19:07.277 -2.0
@ob02809 09:58:27.8165 +02:19:11.277 -2.0
@ob00037 09:58:17.8818 +02:07:08.621 -2.0
@ob02810 09:58:18.0152 +02:07:12.621 -2.0
@ob00038 09:58:47.4194 +02:01:26.686 -2.0
@ob02811 09:58:47.5528 +02:01:30.686 -2.0
@ob00039 09:58:21.3848 +02:19:23.791 -2.0
@ob02812 09:58:21.5183 +02:19:27.791 -2.0
@ob00040 09:58:25.4125 +02:11:25.874 -2.0
@ob02813 09:58:25.5459 +02:11:29.874 -2.0
@ob00041 09:58:34.0451 +02:04:32.752 -2.0
@ob02814 09:58:34.1785 +02:04:36.752 -2.0
@ob00042 09:58:44.4591 +02:02:06.290 -2.0
@ob02815 09:58:44.5925 +02:02:10.290 -2.0
@ob00043 09:58:10.3426 +02:21:07.508 -2.0
@ob02816 09:58:10.4760 +02:21:11.508 -2.0
@ob00044 09:58:15.8100 +02:11:39.033 -2.0
@ob02817 09:58:15.9434 +02:11:43.033 -2.0
@ob00045 09:58:40.2468 +02:16:25.357 -2.0
@ob02818 09:58:40.3803 +02:16:29.357 -2.0
@ob00046 09:58:38.5546 +02:17:52.083 -2.0
@ob02819 09:58:38.6880 +02:17:56.083 -2.0
@ob00047 09:58:27.2355 +02:10:29.556 -2.0
@ob02820 09:58:27.3690 +02:10:33.556 -2.0
@ob00048 09:58:35.1658 +02:01:30.127 -2.0
@ob02821 09:58:35.2992 +02:01:34.127 -2.0
@ob00049 09:58:48.2131 +02:15:10.396 -2.0
@ob02822 09:58:48.3465 +02:15:14.396 -2.0
@ob00050 09:58:08.7223 +02:17:36.374 -2.0
@ob02823 09:58:08.8557 +02:17:40.374 -2.0
@ob00051 09:58:25.6298 +02:23:00.807 -2.0
@ob02824 09:58:25.7633 +02:23:04.807 -2.0
@ob00052 09:58:00.0812 +02:14:49.625 -2.0
@ob02825 09:58:00.2147 +02:14:53.625 -2.0
@ob00053 09:59:00.3551 +02:12:33.396 -2.0
@ob02826 09:59:00.4886 +02:12:37.396 -2.0
@ob00054 09:58:34.8937 +02:24:09.259 -2.0
